"ReplayID";"ClientVersion";"DateTime";"BattleType";"MapName";"MapResp";"PlayerID";"PlayerName";"PlayerTank";"isPremium";"isPlatoon";"PlayerShots";"PlayerFrags";"PlayerDamageDealt";"PlayerSpots";"PlayerBaseCap";"PlayerBaseDef";"PlayerMileage";"API_PlayerBattles";"API_PlayerWins";"ReplayUrl"
12325082;"[1.6.0]";"10.08.2019 19:25";"Случайный бой";"31_airfield";"I";66049486;"_JStaiL_";"france:F110_Lynx_6x6";1;0;21;2;2509;2;0;0;5,7600000000;36731;19873;"http://wotreplays.ru/site/12325082"
12325083;"[1.6.0]";"10.08.2019 18:36";"Случайный бой";"06_ensk";"I";12248471;"lubovo_po_lubomu";"germany:G56_E-100";1;0;14;6;7612;2;0;0;1,1000000000;36511;18312;"http://wotreplays.ru/site/12325083"
12325084;"[1.6.0]";"10.08.2019 19:26";"Случайный бой";"05_prohorovka";"I";62695244;"1_XAPOH_1";"china:Ch16_WZ_131";1;0;11;3;1287;8;0;0;1,8500000000;6805;3579;"http://wotreplays.ru/site/12325084"
12325085;"[1.6.0]";"10.08.2019 19:32";"Случайный бой";"83_kharkiv";"I";6380774;"MicroLazer7777";"germany:G114_Rheinmetall_Skorpian";1;0;13;5;4022;1;0;0;2,2300000000;14880;7505;"http://wotreplays.ru/site/12325085"
12325086;"[1.6.0]";"10.08.2019 19:35";"Случайный бой";"19_monastery";"I";140117;"_BredinA_";"germany:G139_MKA";1;0;27;3;731;3;0;0;0,8100000000;66948;38545;"http://wotreplays.ru/site/12325086"
12325087;"[1.6.0]";"10.08.2019 19:31";"Случайный бой";"38_mannerheim_line";"II";2858114;"nrndda";"ussr:R93_Object263";1;0;12;4;3924;0;29;0;2,6300000000;31188;17170;"http://wotreplays.ru/site/12325087"
12325088;"[1.6.0]";"10.08.2019 19:33";"Случайный бой";"115_sweden";"I";61295;"UlMiH";"ussr:R134_Object_252K";1;0;5;1;1756;0;0;0;1,4000000000;87720;44803;"http://wotreplays.ru/site/12325088"
12325089;"[1.6.0]";"10.08.2019 19:34";"Случайный бой";"112_eiffel_tower_ctf";"II";6766288;"Thander76";"germany:G110_Typ_205";1;0;15;6;5121;0;0;0;1,0600000000;41975;23271;"http://wotreplays.ru/site/12325089"
12325090;"[1.6.0]";"10.08.2019 19:32";"Случайный бой";"44_north_america";"II";5888582;"Nedotyko";"uk:GB102_LHMTV";1;0;11;1;1994;10;0;0;4,7500000000;44943;25331;"http://wotreplays.ru/site/12325090"
12325091;"[1.6.0]";"10.08.2019 18:34";"Случайный бой";"11_murovanka";"II";15729041;"Ledi_161_Rus";"germany:G97_Waffentrager_IV";0;0;10;3;5974;0;0;12;1,5100000000;16100;8019;"http://wotreplays.ru/site/12325091"
12325092;"[1.6.0]";"10.08.2019 19:36";"Случайный бой";"34_redshire";"I";4548775;"evispb";"china:Ch01_Type59";1;1;10;3;1939;1;0;0;1,9500000000;35540;19224;"http://wotreplays.ru/site/12325092"
